Day,    Corona cases in Germany
Feb 15, 16
Feb 16, 16
Feb 17, 16
Feb 18, 16
Feb 19, 16
Feb 20, 16
Feb 21, 16
Feb 22, 16
Feb 23, 16
Feb 24, 16
Feb 25, 18
Feb 26, 26
Feb 27, 48
Feb 28, 74
Feb 29, 79
Mar 01, 130
Mar 02, 165
Mar 03, 203
Mar 04, 262
Mar 05, 545
Mar 06, 670
Mar 07, 800
Mar 08, 1040
Mar 09, 1224
Mar 10, 1565
Mar 11, 1966
Mar 12, 2745
Mar 13, 3675
Mar 14, 4599
Mar 15, 5813
Mar 16, 7272
Mar 17, 9367
Mar 18, 12327
Mar 19, 15320
Mar 20, 19848
Mar 21, 22364
Mar 22, 24873
Mar 23, 29056
Mar 24, 32991
Mar 25,	37323
Mar 26,	43938
